plate	sample_fp	well	cycle	channel
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c8/20220707_154150_665/WellA3_ChannelCY7_30p_Seq0020.nd2	A3	8	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellA3_ChannelA594_30p_Seq0008.nd2	A3	9	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellA3_ChannelCY3_30p_Seq0002.nd2	A3	9	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellA3_ChannelCY5_30p_Seq0014.nd2	A3	9	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c9/20220708_100518_448/WellA3_ChannelCY7_30p_Seq0020.nd2	A3	9	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c1/20220701_152059_425/WellB1_ChannelDAPI-CY3_30p-A594_30p-CY5_30p-CY7_30p_Seq0000.nd2	B1	1	DAPI-CY3_30p-A594_30p-CY5_30p-CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellB1_ChannelA594_30p_Seq0011.nd2	B1	2	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellB1_ChannelCY3_30p_Seq0005.nd2	B1	2	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellB1_ChannelCY5_30p_Seq0017.nd2	B1	2	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c2/20220705_124242_274/WellB1_ChannelCY7_30p_Seq0023.nd2	B1	2	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellB1_ChannelA594_30p_Seq0011.nd2	B1	3	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellB1_ChannelCY3_30p_Seq0005.nd2	B1	3	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellB1_ChannelCY5_30p_Seq0017.nd2	B1	3	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c3/20220705_161307_574/WellB1_ChannelCY7_30p_Seq0023.nd2	B1	3	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellB1_ChannelA594_30p_Seq0011.nd2	B1	4	A594_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellB1_ChannelCY3_30p_Seq0005.nd2	B1	4	CY3_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellB1_ChannelCY5_30p_Seq0017.nd2	B1	4	CY5_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c4/20220706_110933_003/WellB1_ChannelCY7_30p_Seq0023.nd2	B1	4	CY7_30p
1	/archive/cheeseman/brieflow_screens/cotopaxi/input_sbs/c5/20220706_145812_779/WellB1_ChannelA594_30p_Seq0011.nd2	B1	5	A594_30p
